mississauga , lobbying , 44.6866559012 , 220
fitbit , guelph , 30.4781558697 , 1375
fishing , kvass , 30.3390728207 , 2344
dodge , fishing , 30.1911472095 , 237
mississauga , guns , 30.1156936782 , 664
ssl , fishing , 30.0727785216 , 160
fitbit , moncton , 30.0664725259 , 162
washington , waterloo , 30.0428873796 , 116
washington , fishing , 29.8456405639 , 407
fitness , fishing , 29.7112496766 , 277
diving , fishing , 29.6948041309 , 144
housing , sharks , 29.6598871233 , 219
twitter , sharks , 29.4884098477 , 154
mississauga , manufacturing , 29.3755968147 , 256
wine , sharks , 29.2737230967 , 122
austria , fishing , 29.2143787258 , 133
fitbit , waterloo , 29.2098415455 , 308
guns , guelph , 29.044561309 , 445
fitbit , fishing , 29.0180640989 , 2856
mississauga , housing , 29.0114214951 , 609
wisconsin , kvass , 28.9715954064 , 248
newfoundland , sharks , 28.9515845457 , 170
entertainment , sharks , 28.8977011958 , 299
bmw , fishing , 28.8119799944 , 175
ontario , kvass , 28.7795116843 , 117
ontario , diving , 28.1683612251 , 102
housing , guelph , 27.9795650494 , 183
waterloo , guns , 27.835904417 , 1303
twitter , guelph , 27.8178024787 , 130
mississauga , adoption , 27.7338254723 , 365
fitbit , wisconsin , 27.7101287017 , 131
guns , fishing , 27.6531475656 , 588
fitbit , ontario , 27.5264085929 , 267
bergen , fishing , 27.4640375697 , 169
fitbit , maine , 27.3388900858 , 215
injuries , sharks , 27.2327241503 , 164
washington , kvass , 27.1477331447 , 108
fitness , kvass , 27.02549057 , 109
copywriting , fishing , 26.8857102264 , 122
housing , waterloo , 26.8152267841 , 109
adoption , guelph , 26.7474096021 , 273
housing , fishing , 26.6391711997 , 526
salad , sharks , 26.6332691587 , 427
snapchat , sharks , 26.5837407943 , 959
twitter , fishing , 26.4851580545 , 182
fitbit , kvass , 26.3949657521 , 2173
wine , fishing , 26.2923361098 , 143
fitbit , dodge , 26.2662706049 , 345
bmw , kvass , 26.2075106943 , 138
newfoundland , fishing , 26.0030058108 , 179
mississauga , snapchat , 26.0025301477 , 187
fitbit , washington , 25.9656801376 , 191
entertainment , fishing , 25.9546102193 , 282
mississauga , kentucky , 25.8611773119 , 104
hatebreed , adoption , 25.7501351833 , 165
adoption , fishing , 25.466043603 , 205
perth , guelph , 25.2976750279 , 108
guns , kvass , 25.15343134 , 128
ontario , twitter , 25.1237050056 , 122
snapchat , guelph , 25.0776916891 , 477
fitbit , bmw , 25.0663963825 , 111
twitter , detroit , 24.9935681507 , 177
scarborough , centurylink , 24.8469793956 , 199
injuries , fishing , 24.459203026 , 117
journalism , fishing , 24.2238127279 , 135
perth , fishing , 24.0857602623 , 131
fitbit , guns , 24.0582132237 , 314
snapchat , waterloo , 24.0341116338 , 137
adoption , maine , 23.9924126091 , 182
salad , fishing , 23.9207996233 , 173
twitter , ssl , 23.8795691987 , 143
snapchat , fishing , 23.8763154831 , 673
kentucky , fishing , 23.7465210023 , 148
newfoundland , kvass , 23.652454743 , 183
diving , twitter , 23.5794351218 , 249
fitbit , copywriting , 23.3905434368 , 114
superstitions , twitter , 23.3894172944 , 106
journalism , hockey , 23.2147182945 , 169
fitbit , housing , 23.1760547079 , 324
snapchat , ontario , 22.6489683612 , 126
fitbit , newfoundland , 22.6225913984 , 105
fitbit , adoption , 22.1554347661 , 180
housing , guns , 22.0859275326 , 115
salad , kvass , 21.7584703331 , 185
vmware , diving , 21.7577843873 , 104
snapchat , kvass , 21.7180073527 , 240
fitbit , salad , 20.8110739096 , 178
fitbit , snapchat , 20.7723727481 , 503
snapchat , guns , 19.7953070519 , 157
