shooting , camel , 41.4543508169 , 76
shooting , perfume , 27.6655020548 , 70
bmw , gatineau , 27.599529746 , 88
shooting , lattelecom , 27.583465222 , 83
finland , guelph , 27.5794177081 , 76
austria , gatineau , 27.523893449 , 67
ssl , guelph , 27.5149114897 , 209
weather , burlington , 27.3340166539 , 1413
animals , lethbridge , 27.3279923278 , 74
burlington , centurylink , 27.3123927765 , 246
sharks , edmonton , 27.2765492131 , 594
waterloo , fitness , 27.2459035957 , 139
washington , burlington , 27.1333807665 , 73
duluth , maine , 27.0723573917 , 68
weather , guelph , 26.9915560164 , 420
anaheim , burlington , 26.972201845 , 84
centurylink , guelph , 26.9702030588 , 359
lattelecom , gatineau , 26.8697957319 , 99
oakville , edmonton , 26.8660330742 , 115
waterloo , kvass , 26.7951957348 , 79
bmw , burlington , 26.7559651192 , 94
austria , burlington , 26.6826406046 , 79
diving , quebec , 26.5463965608 , 120
shooting , edmonton , 26.4650942933 , 601
minneapolis , waterloo , 26.4229563577 , 90
bergen , gatineau , 26.401462136 , 76
animals , maine , 26.3972642177 , 132
austria , guelph , 26.3483408846 , 76
weather , quebec , 26.1592811633 , 194
perfume , burlington , 26.1260067784 , 66
lattelecom , burlington , 26.0485350287 , 285
philadelphia , gatineau , 25.9310295861 , 73
surfing , animals , 25.8347990922 , 172
perfume , guelph , 25.7986809759 , 119
weather , waterloo , 25.7887753758 , 1887
gatineau , edmonton , 25.7803605153 , 1046
canada , edmonton , 25.7710878153 , 183
lattelecom , guelph , 25.7221798491 , 191
gatineau , chipotle , 25.6423563387 , 76
sweden , edmonton , 25.6341170852 , 984
bergen , burlington , 25.5945157946 , 346
shooting , zillow , 25.44961808 , 139
duluth , kvass , 25.3767244217 , 63
bmw , waterloo , 25.2434021373 , 214
mississauga , edmonton , 25.1920757963 , 139
hawks , maine , 25.184751936 , 124
philadelphia , burlington , 25.1384617599 , 205
burlington , edmonton , 24.9923978074 , 4640
indiana , gatineau , 24.9178084046 , 100
animals , hawks , 24.8861032547 , 89
chipotle , burlington , 24.8586116534 , 187
philadelphia , guelph , 24.8235086467 , 64
indiana , sweden , 24.7764579463 , 86
edmonton , guelph , 24.6792746907 , 2687
injuries , burlington , 24.677165827 , 72
finland , maine , 24.6252213838 , 226
moncton , edmonton , 24.6070149167 , 96
chipotle , guelph , 24.5471647079 , 173
camping , guelph , 24.5259538331 , 72
gatineau , geico , 24.4737407703 , 69
weather , duluth , 24.4235814644 , 81
injuries , guelph , 24.3679921682 , 88
reebok , cars , 24.2793589952 , 78
podcasts , michigan , 24.2422741736 , 76
indiana , burlington , 24.1562091332 , 176
bergen , waterloo , 24.1476116385 , 344
weather , maine , 24.1003290727 , 148
centurylink , maine , 24.081263358 , 64
gatineau , trutv , 23.9848902243 , 71
washington , maine , 23.9234289496 , 63
quebec , edmonton , 23.9182981948 , 350
bmw , duluth , 23.9070789347 , 555
aaa , edmonton , 23.8936912079 , 65
indiana , guelph , 23.8535624024 , 66
boston , waterloo , 23.8117149276 , 181
anaheim , maine , 23.7813179274 , 175
gatineau , michigan , 23.7290587258 , 148
geico , burlington , 23.7257141848 , 203
sweden , michigan , 23.59445165 , 218
waterloo , edmonton , 23.5795324675 , 2291
zoolander , weather , 23.559545418 , 96
geico , guelph , 23.4284610109 , 138
vitamins , edmonton , 23.3293683322 , 170
dodge , centurylink , 23.2062524768 , 125
detroit , edmonton , 23.1456716752 , 87
gps , burlington , 23.0688587793 , 70
michigan , burlington , 23.0037929422 , 214
nfl , burlington , 22.9860342844 , 185
weather , fitness , 22.9708329323 , 292
lattelecom , maine , 22.9669233761 , 98
trutv , guelph , 22.9604893974 , 79
waterloo , durham , 22.9009065833 , 70
lethbridge , edmonton , 22.8126769533 , 226
indiana , waterloo , 22.7906150477 , 311
gps , guelph , 22.7798351724 , 64
animals , perfume , 22.7620710331 , 103
hawks , weather , 22.7206604756 , 69
michigan , guelph , 22.7155845279 , 210
toronto , edmonton , 22.706131666 , 70
nfl , guelph , 22.6980483636 , 189
animals , lattelecom , 22.6945744009 , 99
weather , kvass , 22.5908442512 , 97
duluth , edmonton , 22.3312904052 , 254
waterloo , portland , 22.3227356833 , 181
floorball , edmonton , 22.2978464254 , 130
minneapolis , weather , 22.2770118061 , 76
quebec , trutv , 22.2525110234 , 65
finland , weather , 22.2158747332 , 135
philadelphia , maine , 22.1645142192 , 186
weather , ssl , 22.1639134451 , 72
wine , waterloo , 22.1509336544 , 123
bmw , kvass , 22.113099895 , 64
weather , diving , 22.0640899325 , 79
maine , edmonton , 22.0357300246 , 2624
quebec , michigan , 22.0151577069 , 359
newfoundland , edmonton , 21.8796776859 , 86
animals , edmonton , 21.774423432 , 641
injuries , maine , 21.7577908341 , 74
waterloo , michigan , 21.7033470232 , 648
hawks , lattelecom , 21.6521387166 , 75
surfing , edmonton , 21.5661991842 , 226
zoolander , edmonton , 21.5412735971 , 65
bmw , weather , 21.2825377988 , 177
dodge , edmonton , 21.2350451411 , 190
fitness , edmonton , 21.00299425 , 501
theatre , edmonton , 20.9664596818 , 221
animals , zillow , 20.9389301287 , 131
geico , maine , 20.9188984765 , 245
hawks , edmonton , 20.7742532772 , 577
lattelecom , weather , 20.719825612 , 102
kvass , edmonton , 20.6555579986 , 126
motown , edmonton , 20.6188946215 , 144
gps , duluth , 20.6125634158 , 230
minneapolis , edmonton , 20.3686105876 , 163
bergen , weather , 20.3586844061 , 475
gps , maine , 20.3397508296 , 122
finland , edmonton , 20.3127109346 , 261
nfl , maine , 20.2667246949 , 102
ssl , edmonton , 20.2652010059 , 169
diving , edmonton , 20.1739290582 , 118
butterfinger , edmonton , 20.1357154239 , 92
boston , weather , 20.0754922116 , 66
animals , nfl , 20.0263955219 , 90
philadelphia , weather , 19.9959246555 , 99
hurricanes , edmonton , 19.9259475297 , 68
weather , edmonton , 19.8797407849 , 3460
centurylink , edmonton , 19.8640139679 , 303
trutv , dodge , 19.756132825 , 117
washington , edmonton , 19.7338204292 , 182
wine , fitness , 19.7304985931 , 107
anaheim , edmonton , 19.6165967068 , 278
bmw , edmonton , 19.4593300266 , 352
pirates , edmonton , 19.4254706872 , 65
austria , edmonton , 19.4060018837 , 75
fitness , michigan , 19.3318198045 , 97
indiana , weather , 19.2146099631 , 392
perfume , edmonton , 19.0011679979 , 222
lattelecom , edmonton , 18.944823615 , 766
weather , geico , 18.8721807153 , 82
weather , portland , 18.8201441062 , 96
bmw , indiana , 18.8082651907 , 147
ssl , michigan , 18.6527315812 , 154
anaheim , geico , 18.6223735045 , 223
bergen , edmonton , 18.6146202351 , 569
diving , michigan , 18.5687219955 , 88
weather , trutv , 18.4952184873 , 65
trutv , centurylink , 18.4805869627 , 97
boston , edmonton , 18.3556882212 , 187
weather , michigan , 18.2979418095 , 309
weather , nfl , 18.2838160135 , 78
philadelphia , edmonton , 18.2829369663 , 363
nfl , centurylink , 18.2693517289 , 67
chipotle , edmonton , 18.079404948 , 306
camping , edmonton , 18.0637827774 , 134
indiana , bergen , 17.9918174638 , 83
lattelecom , geico , 17.984647725 , 81
injuries , edmonton , 17.9474413204 , 173
bmw , michigan , 17.9109824586 , 94
indiana , edmonton , 17.5685550351 , 416
columbus , edmonton , 17.4415572849 , 159
geico , edmonton , 17.255460619 , 520
portland , edmonton , 17.2078818218 , 186
wine , edmonton , 17.0754451414 , 72
vine , michigan , 17.0651557005 , 134
trutv , edmonton , 16.9107915541 , 117
boston , michigan , 16.8951556552 , 95
gps , edmonton , 16.7777366401 , 122
michigan , edmonton , 16.730414946 , 585
nfl , edmonton , 16.7174992623 , 326
indiana , michigan , 16.1706533897 , 112
portland , michigan , 15.8386783634 , 85
trutv , michigan , 15.5652270902 , 68
nfl , michigan , 15.3873147549 , 65
